Moves,Played,WhiteWins,Draws,BlackWins,AvgElo
a1b3 a8b6 e2e4 e7e5 d2d4 e5d4 b3d4 d8c6 f2f3 e8e5 e1d2 f7f6 d1c3 c8b8 c1b1 e5a5 d4b3 g8b3 c2b3 f8b4 a2a3 d7d5 a3b4 a5a1,2,0,2,0,2734.5
a1b3 a8b6 e2e4 e7e5 d2d4 e5d4 d1d4 f7f5 c1b1 g8b3 a2b3 f8c5 d4d2 f5e4 h1g3 e4e3 f2e3 e8e5 c1b1 d8e8 f1d3 c8b8 g3e4 c5e7,2,0,2,0,2756.0
a1b3 a8b6 e2e4 e7e5 d2d4 e5d4 d1d4 f7f5 c1b1 g8b3 a2b3 f8c5 d4d3 f5e4 d3h3 e8g6 c1b1 d8e8 e1c3 c5f8 f2f3 c8b8 f3e4 h8f7,2,2,0,0,2756.0
a1b3 a8b6 e2e4 e7e5 d2d4 g7g6 f2f3 d7d5 g2g3 f7f6 d4e5 f6e5 b3c5 b8a8 c2c3 c7c6 e4d5 c6d5 g1e3 d5d4 c3d4 e5d4 f1h3 c8c7,2,2,0,0,2754.0
a1b3 a8b6 e2e4 e7e5 f2f3 d8c6 d2d4 e5d4 b3d4 e8e5 e1d2 f7f6 d1c3 e5a5 a2a3 c6d4 d2d4 f8d6 g2g3 d6e5 d4b4 a5b4 a3b4 b8a8,2,0,2,0,2751.0
a1b3 a8b6 e2e4 e7e5 f2f3 d8c6 d2d4 e5d4 b3d4 f7f5 d4f5 g7g6 f5d4 g8a2 b1a1 a2e6 d4c6 d7c6 a1a7 e8e7 e1a5 f8h6 g1e3 h6e3,2,2,0,0,2790.0
a1b3 a8b6 e2e4 e7e5 f2f3 f8e6 a2a4 b6a4 b1a1 d7d6 g1a7 b8a8 a7f2 c7c5 f1e3 f7f6 d2d3 e6d4 c2c4 b7b5 b3d4 c5d4 e3f5 a8a6,1,1,0,0,2809.0
a1b3 a8b6 f2f4 c7c6 e2e4 d8c7 g1e3 f7f6 d2d3 h7h5 f1d2 d7d5 d1f3 f8d7 c1b1 e7e5 e4d5 b6d5 f4e5 d7e5 e3a7 b8a8 a7f2 d5b4,2,0,2,0,2794.0
a1b3 a8b6 f2f4 f7f5 h1g3 g7g6 e2e4 e7e6 d2d3 h8f7 g1e3 f8h6 e1f2 d7d6 d1e1 e8d7 c1b1 d8e8 e4e5 b6d5 e3d2 d7a4 c2c4 d5b4,2,2,0,0,2756.0
a1b3 a8b6 g2g3 f7f5 b3a5 g8f6 c2c4 e7e5 g1f3 d8e7 d1c2 e5e4 f3d4 e7e5 d4b5 a7a6 d2d4 e5e7 b5a7 c8d8 c2b3 d7d6 e1b4 b6c8,2,2,0,0,2784.5
a1b3 c7c5 f2f4 b7b6 c2c3 d7d5 e2e4 e8c6 e4d5 c6d5 c3c4 d5b7 d2d4 f7f6 d4c5 d8c8 e1d2 h8g6 b1f5 e7e6 f5g6 h7g6 h1g3 e6e5,2,0,2,0,2700.5
a1b3 c7c5 f2f4 b7b6 c2c4 f7f5 d2d3 h8g6 g2g3 d7d5 e2e4 d5e4 d3e4 d8c8 b3d2 e7e5 e4f5 g6e7 d1c1 e7f5 g1g2 f5e3 g2a8 g8c4,2,0,0,2,2717.0
a1b3 c7c6 c2c3 g7g6 e2e4 e7e5 d1c1 d8c8 d2d4 e5d4 c3d4 f7f5 e4e5 f8e6 h2h3 d7d6 g1h2 d6e5 h2e5 b8e5 d4e5 d8d1 c1d1 a8b6,2,0,0,2,2764.5
a1b3 d7d5 d2d4 e7e6 e2e4 a8b6 e4e5 f7f6 f2f4 g8f7 g2g3 f7g6 h1f2 f6e5 e1e5 f8d6 e5e1 h8f7 f1h3 g6f5 b3c5 f5h3 f2h3 d6c5,2,0,2,0,2754.0
a1b3 d7d5 e2e4 d5d4 f2f4 e7e5 f4e5 e8e5 h1g3 f7f6 d2d3 c7c5 c2c3 a8c7 c1c2 d8d7 g3f5 c8b8 g1f2 h8g6 c3d4 c5d4 b1c1 c8b8,2,2,0,0,2815.0
a1b3 d7d5 f2f4 a8b6 e2e4 e8a4 h1g3 e7e6 d2d4 b6c4 f1d3 f8b4 e1f1 b7b5 e4d5 e6d5 b3c5 b4c5 d4c5 a4a2 g1d4 f7f6 g3f5 h8g6,2,2,0,0,2815.0
a1b3 d7d5 f2f4 a8b6 h1f2 f7f6 e2e4 e7e5 f4e5 e8e5 d2d4 e5g5 e1d2 g5d2 b3d2 d8e8 d1e1 c8b8 a2a3 d5e4 e1e4 f6f5 e4e8 d8e8,2,0,0,2,2746.0
a1b3 d8c6 e2e4 e7e5 f2f3 f7f6 d1c3 a8b6 c1b1 f8b4 e1g3 e8e7 c3b5 a7a6 b5c3 b4c3 d2c3 b6a4 g1e3 b7b5 f3f4 g8c4 g3g4 e5f4,2,0,2,0,2745.5
a1b3 d8c8 e2e4 e7e5 c2c3 f7f6 d2d4 e5d4 c3d4 d7d5 f2f3 c7c6 d1c1 a8b6 b1c2 g7g6 h2h4 h8g7 c1b1 f8e6 h4h5 b8c7 f1e3 c8b8,2,0,2,0,2669.0
a1b3 f7f5 b3c5 c8d6 c1d3 a7a5 f2f4 g8d5 d3e5 b7b6 c5a4 b6b5 a4c3 d5b7 a2a3 a8b6 b1a2 b5b4 g1b6 c7b6 a3b4 a5b4 c3d5 b7d5,2,0,2,0,2673.5
a1b3 f7f5 f2f3 a8b6 e2e4 f5e4 f3e4 e7e5 f1e3 f8e6 c2c3 d8g5 d1c2 c8b8 c1b1 g8f7 c1b1 f7h5 d1c1 h8f8 h2h4 g5e3 g1e3 e6f4,2,0,2,0,2821.5
a1b3 f7f5 f2f4 b7b6 d2d3 c7c5 g2g3 a8c7 f1g2 g7g6 e1f3 f8g7 c1d2 c5c4 d3c4 e8d6 f3e5 d6c4 e5c4 g8c4 g1e3 c8a6 g2f3 c7e6,2,0,0,2,2685.0
a1b3 f7f5 f2f4 g7g6 g2g3 b7b6 d2d4 e8d6 e1d3 c7c6 b3d2 g8d5 h1f3 d5f3 e2f3 b6b5 c2c3 a8b6 f1e1 h8f6 d3e5 d8f8 b1c2 d6c4,2,2,0,0,2714.5
a1b3 f7f6 e2e4 e7e5 f2f3 d8c6 c2c4 a8b6 d2d3 b6a4 d3d4 e5d4 b3d4 e8e5 d4c2 a7a5 e1d2 f6f5 f3f4 e5e4 f1d3 e4e6 d1e3 a4c5,2,0,0,2,2799.5
a1b3 g7g6 d1c1 f7f5 g2g3 b8c6 d2d4 a8b6 f2f4 g8d5 h1d5 b6d5 c2c4 d5b6 d4d5 c6b4 a2a3 b4a6 e2e4 c7c5 e4e5 d7d6 b1c3 d8c7,2,0,0,2,2753.0
a2a3 a7a5 e2e4 e7e5 g1f3 b8c6 f1b5 d7d6 d2d4 c8d7 e1g1 g8f6 b1c3 f8e7 f1e1 e5d4 f3d4 e8g8 c1f4 f8e8 h2h3 e7f8 d4f3 c6e5,2,2,0,0,2658.5
a2a3 a7a5 e2e4 g7g6 d2d4 g8f6 e4e5 f6h5 f1e2 d7d6 e2h5 g6h5 d1h5 d6e5 h5e5 h8g8 g1e2 g8g2 e2g3 a8a6 c1e3 a6e6 e5b5 c7c6,2,0,0,2,2705.5
a2a3 a7a6 c2c4 g7g6 d2d4 f8g7 b1c3 d7d6 e2e4 g8f6 g1f3 e8g8 f1e2 c7c5 e1g1 f8e8 f1e1 c5d4 f3d4 b7b6 e2f3 a8a7 c1e3 c8b7,2,0,0,2,2814.0
a2a3 a7a6 d2d4 d7d5 c1f4 g8f6 e2e3 c8g4 f2f3 g4f5 g2g4 f5g6 h2h4 h7h5 g4g5 f6d7 f1d3 g6d3 d1d3 g7g6 c2c4 d5c4 d3c4 b8c6,2,0,2,0,2736.0
a2a3 a7a6 d2d4 g8f6 c2c4 c7c6 c1f4 d7d6 b1c3 g7g6 e2e3 f8g7 h2h3 e8g8 g1f3 b7b5 a1c1 b8d7 f1e2 d7b6 c4b5 a6b5 e1g1 c8d7,2,0,2,0,2784.5
a2a3 a7a6 g1f3 g7g6 e2e4 c7c5 d2d4 c5d4 f3d4 f8g7 b1c3 b8c6 c1e3 g8f6 d4c6 b7c6 e4e5 f6g8 e3f4 a8b8 a1b1 d7d6 f1c4 d6d5,2,0,0,2,2783.0
a2a3 a7a6 g1f3 g8f6 g2g3 g7g6 b2b4 b7b5 f1g2 c8b7 e1g1 f8g7 c1b2 e8g8 d2d3 d7d6 b1d2 b8d7 d2b3 a8c8 c2c4 d7b6 a1c1 b6a4,2,0,2,0,2677.5
a2a3 a7a6 g2g3 g7g6 f1g2 f8g7 c2c4 g8f6 b1c3 e8g8 b2b4 e7e5 c1b2 f8e8 d2d3 c7c6 c4c5 d7d5 c5d6 d8d6 g1f3 c8f5 f3d2 b8d7,2,2,0,0,2658.0
a2a3 a7a6 g2g3 g8f6 f1g2 g7g6 b2b4 f8g7 c1b2 e8g8 c2c4 d7d6 g1f3 e7e5 d2d3 b8c6 e1g1 c8f5 b1c3 d8d7 f3d2 f5h3 a1c1 h3g2,2,0,2,0,2673.0
a2a3 a7a6 h2h3 h7h6 d2d3 d7d6 e2e3 e7e6 c2c3 c7c6 g2g3 g7g6 f1g2 f8g7 g1e2 g8e7 e1g1 e8g8 d3d4 d6d5 b1d2 e6e5 d4e5 g7e5,2,0,2,0,2728.5
